ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,noise_wav,noise_wav_format,noise_wav_opts
0,1.0,../../../min/train/mixture/01aa0101_0.0216_209a0101_-0.0216.wav,wav,,../../../min/train/source1/01aa0101_0.0216_209a0101_-0.0216.wav,wav,,../../../min/train/source2/01aa0101_0.0216_209a0101_-0.0216.wav,wav,,,,
1,1.0,../../../min/train/mixture/01aa0101_0.10236_209a0105_-0.10236.wav,wav,,../../../min/train/source1/01aa0101_0.10236_209a0105_-0.10236.wav,wav,,../../../min/train/source2/01aa0101_0.10236_209a0105_-0.10236.wav,wav,,,,
2,1.0,../../../min/train/mixture/01aa0101_0.12664_209c010m_-0.12664.wav,wav,,../../../min/train/source1/01aa0101_0.12664_209c010m_-0.12664.wav,wav,,../../../min/train/source2/01aa0101_0.12664_209c010m_-0.12664.wav,wav,,,,
3,1.0,../../../min/train/mixture/01aa0101_0.12731_209o010j_-0.12731.wav,wav,,../../../min/train/source1/01aa0101_0.12731_209o010j_-0.12731.wav,wav,,../../../min/train/source2/01aa0101_0.12731_209o010j_-0.12731.wav,wav,,,,
4,1.0,../../../min/train/mixture/01aa0101_0.33968_209a0103_-0.33968.wav,wav,,../../../min/train/source1/01aa0101_0.33968_209a0103_-0.33968.wav,wav,,../../../min/train/source2/01aa0101_0.33968_209a0103_-0.33968.wav,wav,,,,
5,1.0,../../../min/train/mixture/01aa0101_0.41441_209o0107_-0.41441.wav,wav,,../../../min/train/source1/01aa0101_0.41441_209o0107_-0.41441.wav,wav,,../../../min/train/source2/01aa0101_0.41441_209o0107_-0.41441.wav,wav,,,,
6,1.0,../../../min/train/mixture/01aa0101_0.45993_209o0101_-0.45993.wav,wav,,../../../min/train/source1/01aa0101_0.45993_209o0101_-0.45993.wav,wav,,../../../min/train/source2/01aa0101_0.45993_209o0101_-0.45993.wav,wav,,,,
7,1.0,../../../min/train/mixture/01aa0101_0.46226_209a0114_-0.46226.wav,wav,,../../../min/train/source1/01aa0101_0.46226_209a0114_-0.46226.wav,wav,,../../../min/train/source2/01aa0101_0.46226_209a0114_-0.46226.wav,wav,,,,
8,1.0,../../../min/train/mixture/01aa0101_0.51099_209a010y_-0.51099.wav,wav,,../../../min/train/source1/01aa0101_0.51099_209a010y_-0.51099.wav,wav,,../../../min/train/source2/01aa0101_0.51099_209a010y_-0.51099.wav,wav,,,,
9,1.0,../../../min/train/mixture/01aa0101_0.53349_209a0108_-0.53349.wav,wav,,../../../min/train/source1/01aa0101_0.53349_209a0108_-0.53349.wav,wav,,../../../min/train/source2/01aa0101_0.53349_209a0108_-0.53349.wav,wav,,,,
10,1.0,../../../min/train/mixture/01aa0101_0.58792_209a0109_-0.58792.wav,wav,,../../../min/train/source1/01aa0101_0.58792_209a0109_-0.58792.wav,wav,,../../../min/train/source2/01aa0101_0.58792_209a0109_-0.58792.wav,wav,,,,
11,1.0,../../../min/train/mixture/01aa0101_0.62271_209o010i_-0.62271.wav,wav,,../../../min/train/source1/01aa0101_0.62271_209o010i_-0.62271.wav,wav,,../../../min/train/source2/01aa0101_0.62271_209o010i_-0.62271.wav,wav,,,,
12,1.0,../../../min/train/mixture/01aa0101_0.66237_209a010p_-0.66237.wav,wav,,../../../min/train/source1/01aa0101_0.66237_209a010p_-0.66237.wav,wav,,../../../min/train/source2/01aa0101_0.66237_209a010p_-0.66237.wav,wav,,,,
13,1.0,../../../min/train/mixture/01aa0101_0.75457_209o0104_-0.75457.wav,wav,,../../../min/train/source1/01aa0101_0.75457_209o0104_-0.75457.wav,wav,,../../../min/train/source2/01aa0101_0.75457_209o0104_-0.75457.wav,wav,,,,
14,1.0,../../../min/train/mixture/01aa0101_0.76075_209a0110_-0.76075.wav,wav,,../../../min/train/source1/01aa0101_0.76075_209a0110_-0.76075.wav,wav,,../../../min/train/source2/01aa0101_0.76075_209a0110_-0.76075.wav,wav,,,,
15,1.0,../../../min/train/mixture/01aa0101_0.78626_209c0106_-0.78626.wav,wav,,../../../min/train/source1/01aa0101_0.78626_209c0106_-0.78626.wav,wav,,../../../min/train/source2/01aa0101_0.78626_209c0106_-0.78626.wav,wav,,,,
16,1.0,../../../min/train/mixture/01aa0101_0.84467_209c010k_-0.84467.wav,wav,,../../../min/train/source1/01aa0101_0.84467_209c010k_-0.84467.wav,wav,,../../../min/train/source2/01aa0101_0.84467_209c010k_-0.84467.wav,wav,,,,
17,1.0,../../../min/train/mixture/01aa0101_0.91201_209c010n_-0.91201.wav,wav,,../../../min/train/source1/01aa0101_0.91201_209c010n_-0.91201.wav,wav,,../../../min/train/source2/01aa0101_0.91201_209c010n_-0.91201.wav,wav,,,,
18,1.0,../../../min/train/mixture/01aa0101_0.946_209a010e_-0.946.wav,wav,,../../../min/train/source1/01aa0101_0.946_209a010e_-0.946.wav,wav,,../../../min/train/source2/01aa0101_0.946_209a010e_-0.946.wav,wav,,,,
19,1.0,../../../min/train/mixture/01aa0101_1.0281_209a010i_-1.0281.wav,wav,,../../../min/train/source1/01aa0101_1.0281_209a010i_-1.0281.wav,wav,,../../../min/train/source2/01aa0101_1.0281_209a010i_-1.0281.wav,wav,,,,
20,1.0,../../../min/train/mixture/01aa0101_1.313_209a010g_-1.313.wav,wav,,../../../min/train/source1/01aa0101_1.313_209a010g_-1.313.wav,wav,,../../../min/train/source2/01aa0101_1.313_209a010g_-1.313.wav,wav,,,,
